iter	Logloss
0	0.6605875301
1	0.6325383633
2	0.6098357692
3	0.5869170684
4	0.5700108657
5	0.5543742376
6	0.5391454584
7	0.5244468716
8	0.5128847484
9	0.5026731297
10	0.4942859324
11	0.4858744524
12	0.4804960468
13	0.4748448015
14	0.4689969122
15	0.4644627403
16	0.4600373293
17	0.4563831543
18	0.4515984175
19	0.4486791372
20	0.4461613747
21	0.4437040002
22	0.4410111784
23	0.4380252609
24	0.4363365372
25	0.4348491075
26	0.4324824282
27	0.4306572214
28	0.4290930463
29	0.4267564863
30	0.4258580011
31	0.4245265128
32	0.4233668386
33	0.4221245633
34	0.4208635432
35	0.4197731288
36	0.4188930782
37	0.417742233
38	0.4165912718
39	0.4158419276
40	0.4149546058
41	0.414185012
42	0.4136652047
43	0.4131226345
44	0.4120792439
45	0.4113314755
46	0.4109389711
47	0.4103346267
48	0.409838404
49	0.4093724511
50	0.4089542335
51	0.4082774747
52	0.4073290994
53	0.4069298395
54	0.4067254282
55	0.4062693302
56	0.405659084
57	0.4049478259
58	0.404391133
59	0.4041394398
60	0.4037278167
61	0.4035269979
62	0.4030593299
63	0.4025969711
64	0.4022370003
65	0.4017414693
66	0.4013892225
67	0.4013006713
68	0.4011525995
69	0.4009877856
70	0.400615248
71	0.3999902282
72	0.3997076512
73	0.3994604676
74	0.399095914
75	0.398937531
76	0.3985735743
77	0.3983559242
78	0.3981482846
79	0.3978802518
80	0.3975179782
81	0.3968558327
82	0.3963361816
83	0.3963133203
84	0.3960622367
85	0.3958042939
86	0.3956517825
87	0.3956300647
88	0.3954476709
89	0.3952953633
90	0.395244153
91	0.3951797252
92	0.3950586147
93	0.3946858844
94	0.3944165239
95	0.3941565248
96	0.3938152057
97	0.3936231576
98	0.3934992532
99	0.3933241841
100	0.3931724454
101	0.3930950157
102	0.3929855273
103	0.3929532528
104	0.3927515974
105	0.3927066094
106	0.3927007536
107	0.3924526215
108	0.3920701578
109	0.3920410038
110	0.3920213173
111	0.3918630558
112	0.3916319709
113	0.3915311884
114	0.3914566712
115	0.3911046779
116	0.3908646855
117	0.3907109838
118	0.3906342526
119	0.390273394
120	0.3898875073
121	0.3898743656
122	0.3898557195
123	0.3896569718
124	0.3894013144
125	0.3893705466
126	0.3890528646
127	0.3889286486
128	0.3887959974
129	0.3886182073
130	0.3884412316
131	0.3884087911
132	0.3883533846
133	0.3883224119
134	0.3880519714
135	0.3880519651
136	0.3878069427
137	0.3875389835
138	0.3873506136
139	0.387266278
140	0.387248044
141	0.3868601374
142	0.3864266462
143	0.3864263592
144	0.386331902
145	0.3861024107
146	0.3860828141
147	0.3860574216
148	0.3859204027
149	0.3855724459
150	0.3850341269
151	0.3849667632
152	0.3847088994
153	0.3845519118
154	0.3844264975
155	0.3841358909
156	0.3840714923
157	0.3839623724
158	0.3839473487
