iter	Passed	Remaining
0	32	32589
1	57	28911
2	94	31283
3	122	30423
4	148	29490
5	174	28933
6	201	28516
7	225	27998
8	252	27787
9	286	28386
10	318	28625
11	346	28549
12	369	28031
13	402	28342
14	434	28562
15	474	29159
16	516	29844
17	549	30002
18	582	30068
19	612	30010
20	634	29572
21	665	29596
22	690	29314
23	722	29394
24	738	28785
25	769	28812
26	799	28811
27	836	29029
28	865	28964
29	891	28819
30	904	28267
31	934	28254
32	965	28278
33	993	28229
34	1020	28143
35	1057	28313
36	1086	28265
37	1170	29626
38	1205	29714
39	1238	29716
40	1274	29806
41	1304	29749
42	1327	29543
43	1354	29425
44	1380	29291
45	1403	29114
46	1438	29168
47	1471	29187
48	1504	29204
49	1543	29333
50	1577	29357
51	1608	29332
52	1636	29249
53	1669	29243
54	1693	29092
55	1724	29075
56	1757	29080
57	1796	29184
58	1823	29090
59	1850	28993
60	1882	28984
61	1912	28929
62	1938	28838
63	1970	28821
64	2002	28810
65	2032	28756
66	2057	28657
67	2069	28371
68	2098	28311
69	2134	28353
70	2164	28319
71	2193	28270
72	2217	28161
73	2244	28088
74	2272	28021
75	2302	27997
76	2332	27958
77	2363	27941
78	2393	27899
79	2418	27809
80	2445	27742
81	2470	27662
82	2503	27663
83	2523	27513
84	2546	27415
85	2570	27321
86	2596	27250
87	2608	27037
88	2640	27023
89	2671	27007
90	2687	26846
91	2704	26688
92	2732	26653
93	2761	26611
94	2790	26579
95	2817	26532
96	2847	26508
97	2875	26468
98	2905	26438
99	2932	26390
100	2958	26336
101	2992	26344
102	3024	26341
103	3034	26144
104	3061	26097
105	3087	26040
106	3117	26018
107	3143	25965
108	3168	25898
109	3182	25749
110	3191	25562
111	3219	25524
112	3277	25726
113	3299	25645
114	3331	25634
115	3357	25585
116	3384	25543
117	3410	25489
118	3437	25446
119	3460	25377
120	3484	25311
121	3502	25206
122	3522	25112
123	3548	25066
124	3574	25024
125	3599	24968
126	3628	24939
127	3647	24845
128	3675	24815
129	3700	24765
130	3730	24749
131	3744	24624
132	3778	24628
133	3796	24532
134	3824	24503
135	3834	24359
136	3862	24328
137	3888	24289
138	3913	24240
139	3942	24220
140	3967	24169
141	3995	24143
142	4024	24115
143	4037	24003
144	4065	23970
145	4094	23951
146	4105	23824
147	4120	23717
148	4143	23664
149	4170	23633
150	4197	23600
151	4226	23578
152	4257	23569
153	4289	23562
154	4315	23526
155	4344	23505
